Time;user_addr;sum;count
2019-04-18 02:59:59;0x409B512e1cf94500877C5353B2a0C13B2d24914F;3890;4750
2019-04-18 02:59:59;0x85C5c26DC2aF5546341Fc1988B9d178148b4838B;4310;4140
2019-04-18 02:59:59;0x521550E569bc80F1b4957C4F3Fd3D677d9ca31f1;19200;3980
2019-04-18 02:59:59;0x7b0bc7c2931a95f66B096fCA4D7a419302cA20E1;2300;2790
2019-04-18 02:59:59;0x785CfC135cd5E26f55a791D177C3cbDFB16F9fEA;2490;2540
2019-04-18 02:59:59;0xAae7ba823679889b12f71D1f18BEeCBc69E62237;17840;1580
2019-04-18 02:59:59;0x0000000000C90bc353314b6911180ED7E06019A9;2660;1530
2019-04-18 02:59:59;0x778FDaf34BB5993D69968f541152451241Fab7e3;11500;1310
2019-04-18 02:59:59;0x107B8C8a12f24f6bfec6aB480B4C843291e1575e;1130;1150
2019-04-18 02:59:59;0x9B3Eb3B22DC2C29e878d7766276a86A8395fB56d;734.00;948.00
2019-04-18 02:59:59;0x8e5272Cec02272e232C4C8bDd1d64D3a4AA532e5;6760;827.00
2019-04-18 02:59:59;0x00000000016697Fa9A9C8e2889E28D3D9816A078;326.61;720.00
2019-04-18 02:59:59;0xe3029a392Fc38E97314ddb91D24CeFcA1f88164b;1660;709.00
2019-04-18 02:59:59;0xAD2379DF558a43f12Afa6077d1E57dF05bD1ADa2;15050;577.00
2019-04-18 02:59:59;0x6996C784cdA7a2841C3a6F579C896477586A1D9A;3300;465.00
2019-04-18 02:59:59;0x00000000Af5A61acAf76190794E3fdf1289288A1;1120;413.00
2019-04-18 02:59:59;0x3b90cbff8a8655Aa198D3862abe043ee8c4fE85A;522.93;391.00
2019-04-18 02:59:59;0x472DbF5a1b070F9eFC2491cb3B98445e06599e21;1040;386.00
2019-04-18 02:59:59;0xB0e38519739B34b84D4a970e811617DAa1D48b64;480.33;376.00
2019-04-18 02:59:59;0x4F57C818530f961f2CfFeF4427975c1CB5a6d17D;1640;372.00
2019-04-18 02:59:59;0x47004fe25974ee101670274DeD998e3792F18ef9;500.45;335.00
2019-04-18 02:59:59;0x96FE94c07Ee88fC2A4B3E978D875202fD113e654;2930;325.00
2019-04-18 02:59:59;0x00e541A6E7D9AB69E9343c9BA357D5f6e367dFc2;455.24;308.00
2019-04-18 02:59:59;0xe84EabF195ED3544641b316D45AF4781881c72Bd;599.21;293.00
2019-04-18 02:59:59;0x6e83E4954E0617647137b7D3C85671BBbf7f331d;837.83;277.00
2019-04-18 02:59:59;0x986111a0c4f87C50042376d5D92aF15BdBBe2322;368.48;272.00
2019-04-18 02:59:59;0x15F3374F38901F8cB635F9398cD338d1B84dD084;958.20;264.00
2019-04-18 02:59:59;0x88dD970bad4af1ec07917C9d4657E7D8946034cf;292.74;262.00
2019-04-18 02:59:59;0xB6718dC4CeDA24cfdbBb736F075A8256302f4FFa;180.77;251.00
2019-04-18 02:59:59;0xb21A1aAD487489ACd6d0aC7E9323EEfF9a6BB688;143.24;248.00
2019-04-18 02:59:59;0x52DD74D511753B464867D831f78DFcbf05D255d7;102.50;242.00
2019-04-18 02:59:59;0xEb1898DfA87cf8F7fABdf99514D3022858F042AB;479.30;230.00
2019-04-18 02:59:59;0x1cF25983e8Bf48AA1f532F956B8A176761b76206;269.93;223.00
2019-04-18 02:59:59;0x000000001e29fcd9B1469a7954DC65ff254FFfC0;533.18;221.00
2019-04-18 02:59:59;0x8a47cD7A8a2b11294Ba719c0eF856243cAcea5EA;182.29;219.00
2019-04-18 02:59:59;0x4fE91E9428A24e705F7B889e29589f1041DE4E24;332.87;219.00
2019-04-18 02:59:59;0x5Ed86e952e1B17596206E95B94C824D31ba71FB1;349.06;209.00
2019-04-18 02:59:59;0xEAd1703dd838C9ABe8C088BE414BaD12A0a682Cc;655.23;194.00
2019-04-18 02:59:59;0x6E4971ECCda0759e4d616d7aE410b745241117a0;998.78;190.00
2019-04-18 02:59:59;0x4Fe95C36bB9B3A81F278569525162f91615E77d7;408.93;185.00
2019-04-18 02:59:59;0x2bdE5d7733A578c3ff1C79C25B990917B316d084;280.19;180.00
2019-04-18 02:59:59;0xBa6d0B53C8A8c76f9E3a1A7018e5D114a43d99e2;386.55;167.00
2019-04-18 02:59:59;0x50a32dd491485BFae6F85A6Fee94ef0cAdcc101c;764.44;162.00
2019-04-18 02:59:59;0x8fA07F46353A2B17E92645592a94a0Fc1CEb783F;0.31;161.00
2019-04-18 02:59:59;0xf5C7231632aa9b344093d82deb864fa1C00b8Bde;734.57;160.00
2019-04-18 02:59:59;0x0e88d68ddD2aE0465acC9552260569Bcf4C33685;8.06;160.00
2019-04-18 02:59:59;0x485935F6315D54941ff6a2730B8BC1579b02C04c;111.22;152.00
2019-04-18 02:59:59;0x000049874Ad28a0F9Fb289a5DB44cA0B70eD15bB;110.94;150.00
2019-04-18 02:59:59;0x41c6BD5E7eDf3F185d798Df16Aaf5C464df6B692;1910;149.00
2019-04-18 02:59:59;0x283Cc5C26e53D66ed2Ea252D986F094B37E6e895;743.42;146.00
2019-04-18 02:59:59;0x3Df8bCB3c65016E25ae0f7A72F0edc91CE9c01CF;490.30;136.00
2019-04-18 02:59:59;0x15705495c630EC4E143Fd3e20C5A67CA80C68d50;255.90;133.00
2019-04-18 02:59:59;0x7659AFa68F66E30Ef51be018d0121c4ac9146a40;235.14;131.00
2019-04-18 02:59:59;0x53542d792130ee4fcaF760Ec9B418508CA432AE8;98.83;130.00
2019-04-18 02:59:59;0x242A671739A509Dab71de5EcC62740D419DcB949;1240;126.00
2019-04-18 02:59:59;0xEe37f338220479C8F652e3557f02513BdB11C160;1810;125.00
2019-04-18 02:59:59;0xEC1e3dc16eE138991E105DfA3230F1c9D607A6d0;580.24;121.00
2019-04-18 02:59:59;0x60b2c767194902e3AeA95C68cF8A50F6591558D0;148.42;121.00
2019-04-18 02:59:59;0xd72fBaE4B64079eDd64969F760cdf240eC7533Eb;329.65;117.00
2019-04-18 02:59:59;0xbD43eb8c323beaF77484784b6aADe4E54e92086D;75.86;117.00
2019-04-18 02:59:59;0x26E068650ae54b6c1b149e1B926634b07e137b9F;225.02;117.00
2019-04-18 02:59:59;0x289743b373fA21c0BA8FB2Fb1727D07597e7c277;375.71;114.00
2019-04-18 02:59:59;0x23395e68e4A65B5B9B33E3819F6a3058752A1a2E;125.38;108.00
2019-04-18 02:59:59;0x5f3F2BC56746d9d8A391dD35D887D442576f0E44;149.26;104.00
2019-04-18 02:59:59;0xD6AC239f32286742bA1E85FEb927Ff6D262E7FE9;201.44;103.00
2019-04-18 02:59:59;0xa7a4D5F9c740dc3f0029dBCe672483370daEAff9;552.34;100.00
2019-04-18 02:59:59;0xdC6D991a6F18471418e28C9249D69f385333f4ac;664.51;98.00
2019-04-18 02:59:59;0x938350068ECbd19c6E2E5559a17467C1E141a8cA;93.36;97.00
2019-04-18 02:59:59;0xbED4e3Cd89918563a9Ce4b04Cf5379DAF566bD53;656.18;96.00
2019-04-18 02:59:59;0xBd66126856e5770B47CA256c237606baCB7AD5A4;171.99;96.00
2019-04-18 02:59:59;0x92afB508a46494AC00A242627703d1f21CA2dF1B;179.10;94.00
2019-04-18 02:59:59;0x90D1E63Fd61BeDEE4447Ca9398d0d15cdBd4dd42;147.14;94.00
2019-04-18 02:59:59;0x73a9BD45C2DB5431e85B8B088a4929C72d824a53;103.86;94.00
2019-04-18 02:59:59;0x5484b07cfe2BB201987B91D53f6f28CDAdfFfEDa;108.33;94.00
2019-04-18 02:59:59;0x216f2541F4B612218A2fE17c75a89FACE8F86835;90.01;94.00
2019-04-18 02:59:59;0xEEE1BF53e7bF018e6414e3916f5BDd79235AC358;242.29;93.00
2019-04-18 02:59:59;0x2FB1EB2705F5571dd22FEc01e4c42c233CC06A45;1380;93.00
2019-04-18 02:59:59;0x193CbEc3ce6ECCBf6b4e36B6434EF8d461cc7C48;4150;93.00
2019-04-18 02:59:59;0x23732c68e444C09fCa1C139D9E90a58217560224;147.98;92.00
2019-04-18 02:59:59;0xE593D6E31826DE63Ef5E1C7011037c2c386D0840;51.33;91.00
2019-04-18 02:59:59;0x6ceE575c9aCABc195B7f03396A462aA78b5814C3;137.39;91.00
2019-04-18 02:59:59;0x5d47E871F81F84D3154AEC772bCce14973112C69;38.57;91.00
2019-04-18 02:59:59;0x7b1886e49AB5433bb46f7258548092DC8CdCA28B;327.00;90.00
2019-04-18 02:59:59;0x1C27590d3CfC7115Eb8B35B1ab26d6cbc98A3906;900.07;89.00
2019-04-18 02:59:59;0xF257246627f7CB036AE40Aa6cFe8D8CE5F0EbA63;43.99;88.00
2019-04-18 02:59:59;0x77a76Fa260C9a642DBac1c1C155612f496F7dB93;95.07;88.00
2019-04-18 02:59:59;0x98483caA3f2A3094786d2e994a1A39e48fbc62c3;177.71;87.00
2019-04-18 02:59:59;0x553cC61F440E0DF936819dB4089e485C77DC1bA2;74.03;87.00
2019-04-18 02:59:59;0x4548924D19Db97b955498621577314A2f0aa900b;133.90;86.00
2019-04-18 02:59:59;0x2a02fC2eFF594c2e16b644372738CC0AF5B84FE3;1510;86.00
2019-04-18 02:59:59;0x3f0682f440a130794C6F0Dce495AA7beA7bFA0f2;2.85;85.00
2019-04-18 02:59:59;0x12dFC577544D002c57fBb02c389511A37bC4490c;20.59;84.00
2019-04-18 02:59:59;0xb830a7e63B51c2a22985c2e3B2dbcbfa838920f6;168.07;83.00
2019-04-18 02:59:59;0xC454E2B4EbB3C74B2Caf83e74067A8055B375e4E;130.96;81.00
2019-04-18 02:59:59;0x0EeE7bcE7D0A676794fb8186AF5DBe7b6713806a;159.46;79.00
2019-04-18 02:59:59;0x00dEe1F836998bcc736022f314dF906588d44808;354.71;79.00
2019-04-18 02:59:59;0x11d790358F8df176bd6277d3E6623B2F1a9bAaaB;136.46;77.00
2019-04-18 02:59:59;0x9709a9f77d4349e1DA4220f1458fBe9339d612E3;824.30;75.00
2019-04-18 02:59:59;0x60A82935BAc5164feED21B2E1fa6135e4d86502a;73.13;75.00
2019-04-18 02:59:59;0x41b888be6e9dCCF4316dF7454176F75b72F640dE;22.73;75.00
2019-04-18 02:59:59;0xd3BB48F4f01876783ce5F67392C1Fe05e1FA0918;182.21;74.00
2019-04-18 02:59:59;0x0cF92835aEbB21bD864eC1C01Ae0C92F13A46386;1470;74.00
2019-04-18 02:59:59;0x528097F89918b745B4682F1fE72e3320f6E8155c;806.28;73.00
2019-04-18 02:59:59;0xfAfe0a0A0b1A18D6bD22dD31A479Ad9F6e2DBd49;1.56;71.00
2019-04-18 02:59:59;0xFa71B63935cF9878E009ba6595Da08f6d75C4Aa1;23.14;71.00
2019-04-18 02:59:59;0xF756017c7f3233f481635B45032B0C30f9847Fa1;31.77;71.00
2019-04-18 02:59:59;0x39818b9E15157913366fF5a99d78D97e6505d7cf;839.74;69.00
